Position,Track Name,Artist,Streams,date,region,spotify_id
52,Needed Me,Rihanna,2114685,2017-01-06--2017-01-13,us,1Tt4sE4pXi57mTD1GCzsqm
53,Love On The Brain,Rihanna,2053664,2017-01-06--2017-01-13,us,2aksifNn5ph8igDOkPBA02
54,Now and Later,Sage The Gemini,2052952,2017-01-06--2017-01-13,us,43jBqV3j3Xi1g6wO0bhIMd
55,Moves,Big Sean,2042847,2017-01-06--2017-01-13,us,0Fv5N0cHBsl4bzCbollCAS
56,Weak,AJR,2026353,2017-01-06--2017-01-13,us,3E2Zh20GDCR9B1EYjfXWyv
57,Chantaje (feat. Maluma),Shakira,2011932,2017-01-06--2017-01-13,us,6mICuAdrwEjh6Y6lroV2Kg
58,Used to This (feat. Drake),Future,2000962,2017-01-06--2017-01-13,us,78sr3ogs4UzITcCNbXM9cM
59,Immortal,J. Cole,1972571,2017-01-06--2017-01-13,us,6AGON2BGdPmPMJGiiNuuwl
60,Both (feat. Drake),Gucci Mane,1961402,2017-01-06--2017-01-13,us,5tFep7dXGd7vEJ668wTPux
61,Make Me (Cry),Noah Cyrus,1945427,2017-01-06--2017-01-13,us,2BrzlUj1u1CtvaJDGIKpsP
62,All Night,The Vamps,1940151,2017-01-06--2017-01-13,us,1yNyoWWWikbLhwIGWjZuDW
63,goosebumps,Travis Scott,1932719,2017-01-06--2017-01-13,us,6gBFPUFcJLzWGx4lenP6h2
64,Too Many Years,Kodak Black,1922714,2017-01-06--2017-01-13,us,0BU7nIcCZxYSE0hYcc5oZz
65,Don't Let Me Down (feat. Daya),The Chainsmokers,1914855,2017-01-06--2017-01-13,us,0QsvXIfqM0zZoerQfsI9lm
66,Panda,Desiigner,1897547,2017-01-06--2017-01-13,us,5OOkp4U9P9oL23maHFHL1h
67,Water,Ugly God,1891510,2017-01-06--2017-01-13,us,6HEIBHUirx1J0JkUD24szt
68,Low Life (feat. The Weeknd),Future,1846604,2017-01-06--2017-01-13,us,7EiZI6JVHllARrX9PUvAdX
69,Selfish,PnB Rock,1838804,2017-01-06--2017-01-13,us,2xbI8Vmyv3TkpTdywpPyNw
70,Treat You Better,Shawn Mendes,1815241,2017-01-06--2017-01-13,us,4Hf7WnR761jpxPr5D46Bcd
71,No Role Modelz,J. Cole,1813991,2017-01-06--2017-01-13,us,62vpWI1CHwFy7tMIcSStl8
72,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,1812418,2017-01-06--2017-01-13,us,4dASQiO1Eoo3RJvt74FtXB
73,Sunset Lover,Petit Biscuit,1808345,2017-01-06--2017-01-13,us,0hNduWmlWmEmuwEFcYvRu1
74,Money Longer,Lil Uzi Vert,1806203,2017-01-06--2017-01-13,us,0B8QzDH7YWih85V5SEMnyJ
75,Reminder,The Weeknd,1761960,2017-01-06--2017-01-13,us,37F0uwRSrdzkBiuj0D5UHI
76,Erase Your Social,Lil Uzi Vert,1725479,2017-01-06--2017-01-13,us,4uhvMW7ly7tJil31YYscAN
77,Ride,Twenty One Pilots,1712763,2017-01-06--2017-01-13,us,2Z8WuEywRWYTKe1NybPQEW
78,Congratulations,Post Malone,1710499,2017-01-06--2017-01-13,us,3a1lNhkSLSkpJE4MSHpDu9
79,Die For You,The Weeknd,1702103,2017-01-06--2017-01-13,us,2LBqCSwhJGcFQeTHMVGwy3
80,Water Under the Bridge,Adele,1696872,2017-01-06--2017-01-13,us,4vb4mFvYsr2h6enhjJsq9Y
81,Come and See Me (feat. Drake),PARTYNEXTDOOR,1678993,2017-01-06--2017-01-13,us,1wZqJM5FGDEl3FjHDxDyQd
82,Don't,Bryson Tiller,1674539,2017-01-06--2017-01-13,us,3pXF1nA74528Edde4of9CC
83,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,1669156,2017-01-06--2017-01-13,us,2wDjpPW3HZdA9quPPmZAMu
84,Exchange,Bryson Tiller,1649627,2017-01-06--2017-01-13,us,43PuMrRfbyyuz4QpZ3oAwN
85,Jumpman,Drake,1648642,2017-01-06--2017-01-13,us,27GmP9AWRs744SzKcpJsTZ
86,"i hate u, i love u (feat. olivia o'brien)",gnash,1644481,2017-01-06--2017-01-13,us,7vRriwrloYVaoAe3a9wJHe
87,White Iverson,Post Malone,1643376,2017-01-06--2017-01-13,us,6eT7xZZlB2mwyzJ2sUKG6w
88,Light,San Holo,1632765,2017-01-06--2017-01-13,us,7zTx8ePYAmPFQuxP3xlXZn
89,Setting Fires,The Chainsmokers,1610666,2017-01-06--2017-01-13,us,0B8B8cVRFIG1yznoQe7c9s
90,No Flockin',Kodak Black,1564410,2017-01-06--2017-01-13,us,34oWbFBfGEElvgO0a5c9V4
91,Photograph,Ed Sheeran,1560137,2017-01-06--2017-01-13,us,6fxVffaTuwjgEk5h9QyRjy
92,Don't Leave,Snakehips,1557206,2017-01-06--2017-01-13,us,0Zx8khUcEfCFK2AEoIhC92
93,Work,Rihanna,1547094,2017-01-06--2017-01-13,us,14WWzenpaEgQZlqPq2nk4v
94,Gassed Up,Nebu Kiniza,1545148,2017-01-06--2017-01-13,us,6JjEVlMkfHWMeYavkEYzNO
95,Too Much Sauce (feat. Future & Lil Uzi Vert),DJ ESCO,1539626,2017-01-06--2017-01-13,us,5oyUurs28XRagLa8lgm6V3
96,Not Going Home (feat. Gia Koka),DVBBS,1522952,2017-01-06--2017-01-13,us,042x9bsUBWW2fJgJ6fUh61
