,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,"WAP (feat. Megan Thee Stallion)","Cardi B",1389456,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
56,"Prisoner (feat. Dua Lipa)","Miley Cyrus",1382742,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
57,"Best Friend (feat. Doja Cat)",Saweetie,1293796,https://open.spotify.com/track/2etHQJxIbV0soyPhelVs9Y
58,"Dance Monkey","Tones And I",1279077,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
59,"Roses - Imanbek Remix","SAINt JHN",1251352,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
60,"Before You Go","Lewis Capaldi",1251136,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
61,Reloj,"Rauw Alejandro",1250415,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
62,Heather,"Conan Gray",1247895,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
63,Hawái,Maluma,1227965,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
64,"My Head & My Heart","Ava Max",1212476,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm
65,Circles,"Post Malone",1184160,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
66,"Lemon Pepper Freestyle (feat. Rick Ross)",Drake,1179611,https://open.spotify.com/track/4FRW5Nza1Ym91BGV4nFWXI
67,"Adore You","Harry Styles",1176331,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
68,"lovely (with Khalid)","Billie Eilish",1167554,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
69,Golden,"Harry Styles",1164005,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
70,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",1139080,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
71,"At My Worst","Pink Sweat$",1136886,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
72,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",1110961,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
73,"La Nota","Manuel Turizo",1089936,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
74,willow,"Taylor Swift",1084565,https://open.spotify.com/track/3Uo7WG0vmLQ07WB4BDwy7D
75,"No Te Enamores - Remix",Milly,1078595,https://open.spotify.com/track/2mM3gZ0BbPwPPMelbA8vgt
76,"Follow You","Imagine Dragons",1068670,https://open.spotify.com/track/7FdUvDkaE24o3FPIWTvzv2
77,Goosebumps,HVME,1065603,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
78,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1061965,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
79,"death bed (coffee for your head)",Powfu,1055220,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
80,"Machu Picchu",Camilo,1048594,https://open.spotify.com/track/6RV9pRLIQiXm3qTGeyQluf
81,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes",1046495,https://open.spotify.com/track/1HbA4N1MiOsPthALesGFR1
82,"Cupid's Chokehold / Breakfast in America","Gym Class Heroes",1043126,https://open.spotify.com/track/2Lhdl74nwwVGOE2Gv35QuK
83,"Batom de Cereja - Ao Vivo","Israel & Rodolffo",1038875,https://open.spotify.com/track/2MZQAvsA7aZDssppBLRxYp
84,"Holy (feat. Chance The Rapper)","Justin Bieber",1036141,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
85,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",1025842,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
86,"Lucid Dreams","Juice WRLD",1023713,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
87,"Además de Mí - Remix",Rusherking,1013430,https://open.spotify.com/track/7I8L3vYCLThw2FDrE6LuzE
88,"Lonely (with benny blanco)","Justin Bieber",1004090,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
89,goosebumps,"Travis Scott",1003385,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
90,"TE MUDASTE","Bad Bunny",995736,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
91,"Laugh Now Cry Later (feat. Lil Durk)",Drake,995139,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
92,"bad guy","Billie Eilish",993618,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
